id,shape,average_completion_time,date
1,triangle,6.45,Fri Mar 14 2025 20:00:00 GMT-0400 (Eastern Daylight Time)
2,circle,6.75,Fri Mar 14 2025 20:00:00 GMT-0400 (Eastern Daylight Time)
3,star,7.3,Fri Mar 14 2025 20:00:00 GMT-0400 (Eastern Daylight Time)
4,umbrella,7.95,Fri Mar 14 2025 20:00:00 GMT-0400 (Eastern Daylight Time)
5,triangle,5.9,Sun Jul 21 2024 20:00:00 GMT-0400 (Eastern Daylight Time)
6,circle,6.2,Sun Jul 21 2024 20:00:00 GMT-0400 (Eastern Daylight Time)
7,star,6.85,Sun Jul 21 2024 20:00:00 GMT-0400 (Eastern Daylight Time)
8,umbrella,7.4,Sun Jul 21 2024 20:00:00 GMT-0400 (Eastern Daylight Time)
9,triangle,6.8,Sat Nov 04 2023 20:00:00 GMT-0400 (Eastern Daylight Time)
10,circle,7.1,Sat Nov 04 2023 20:00:00 GMT-0400 (Eastern Daylight Time)
11,star,7.65,Sat Nov 04 2023 20:00:00 GMT-0400 (Eastern Daylight Time)
12,umbrella,8.25,Sat Nov 04 2023 20:00:00 GMT-0400 (Eastern Daylight Time)
13,triangle,6.15,Tue May 17 2022 20:00:00 GMT-0400 (Eastern Daylight Time)
14,circle,6.45,Tue May 17 2022 20:00:00 GMT-0400 (Eastern Daylight Time)
15,star,7,Tue May 17 2022 20:00:00 GMT-0400 (Eastern Daylight Time)
16,umbrella,7.6,Tue May 17 2022 20:00:00 GMT-0400 (Eastern Daylight Time)
17,triangle,6.3,Wed Sep 29 2021 20:00:00 GMT-0400 (Eastern Daylight Time)
18,circle,6.6,Wed Sep 29 2021 20:00:00 GMT-0400 (Eastern Daylight Time)
19,star,7.15,Wed Sep 29 2021 20:00:00 GMT-0400 (Eastern Daylight Time)
20,umbrella,7.75,Wed Sep 29 2021 20:00:00 GMT-0400 (Eastern Daylight Time)
21,triangle,6.85,Thu Feb 13 2020 19:00:00 GMT-0500 (Eastern Standard Time)
22,circle,7.15,Thu Feb 13 2020 19:00:00 GMT-0500 (Eastern Standard Time)
23,star,7.7,Thu Feb 13 2020 19:00:00 GMT-0500 (Eastern Standard Time)
24,umbrella,8.3,Thu Feb 13 2020 19:00:00 GMT-0500 (Eastern Standard Time)
25,triangle,5.95,Mon Jun 24 2019 20:00:00 GMT-0400 (Eastern Daylight Time)
26,circle,6.25,Mon Jun 24 2019 20:00:00 GMT-0400 (Eastern Daylight Time)
27,star,6.8,Mon Jun 24 2019 20:00:00 GMT-0400 (Eastern Daylight Time)
28,umbrella,7.45,Mon Jun 24 2019 20:00:00 GMT-0400 (Eastern Daylight Time)
29,triangle,6.7,Thu Oct 11 2018 20:00:00 GMT-0400 (Eastern Daylight Time)
30,circle,7,Thu Oct 11 2018 20:00:00 GMT-0400 (Eastern Daylight Time)
31,star,7.55,Thu Oct 11 2018 20:00:00 GMT-0400 (Eastern Daylight Time)
32,umbrella,8.15,Thu Oct 11 2018 20:00:00 GMT-0400 (Eastern Daylight Time)
33,triangle,6.4,Fri Apr 07 2017 20:00:00 GMT-0400 (Eastern Daylight Time)
34,circle,6.7,Fri Apr 07 2017 20:00:00 GMT-0400 (Eastern Daylight Time)
35,star,7.25,Fri Apr 07 2017 20:00:00 GMT-0400 (Eastern Daylight Time)
36,umbrella,7.85,Fri Apr 07 2017 20:00:00 GMT-0400 (Eastern Daylight Time)
37,triangle,5.85,Thu Aug 18 2016 20:00:00 GMT-0400 (Eastern Daylight Time)
38,circle,6.15,Thu Aug 18 2016 20:00:00 GMT-0400 (Eastern Daylight Time)
39,star,6.7,Thu Aug 18 2016 20:00:00 GMT-0400 (Eastern Daylight Time)
40,umbrella,7.35,Thu Aug 18 2016 20:00:00 GMT-0400 (Eastern Daylight Time)
41,triangle,6.9,Wed Dec 02 2015 19:00:00 GMT-0500 (Eastern Standard Time)
42,circle,7.2,Wed Dec 02 2015 19:00:00 GMT-0500 (Eastern Standard Time)
43,star,7.75,Wed Dec 02 2015 19:00:00 GMT-0500 (Eastern Standard Time)
44,umbrella,8.35,Wed Dec 02 2015 19:00:00 GMT-0500 (Eastern Standard Time)
45,triangle,6.45,Wed Mar 26 2014 20:00:00 GMT-0400 (Eastern Daylight Time)
46,circle,6.75,Wed Mar 26 2014 20:00:00 GMT-0400 (Eastern Daylight Time)
47,star,7.3,Wed Mar 26 2014 20:00:00 GMT-0400 (Eastern Daylight Time)
48,umbrella,7.9,Wed Mar 26 2014 20:00:00 GMT-0400 (Eastern Daylight Time)
49,triangle,5.95,Sat Jul 13 2013 20:00:00 GMT-0400 (Eastern Daylight Time)
50,circle,6.25,Sat Jul 13 2013 20:00:00 GMT-0400 (Eastern Daylight Time)
51,star,6.8,Sat Jul 13 2013 20:00:00 GMT-0400 (Eastern Daylight Time)
52,umbrella,7.45,Sat Jul 13 2013 20:00:00 GMT-0400 (Eastern Daylight Time)
53,triangle,6.75,Wed Nov 28 2012 19:00:00 GMT-0500 (Eastern Standard Time)
54,circle,7.05,Wed Nov 28 2012 19:00:00 GMT-0500 (Eastern Standard Time)
55,star,7.6,Wed Nov 28 2012 19:00:00 GMT-0500 (Eastern Standard Time)
56,umbrella,8.2,Wed Nov 28 2012 19:00:00 GMT-0500 (Eastern Standard Time)
57,triangle,6.2,Sun May 15 2011 20:00:00 GMT-0400 (Eastern Daylight Time)
58,circle,6.5,Sun May 15 2011 20:00:00 GMT-0400 (Eastern Daylight Time)
59,star,7.05,Sun May 15 2011 20:00:00 GMT-0400 (Eastern Daylight Time)
60,umbrella,7.65,Sun May 15 2011 20:00:00 GMT-0400 (Eastern Daylight Time)
61,triangle,6.35,Wed Sep 01 2010 20:00:00 GMT-0400 (Eastern Daylight Time)
62,circle,6.65,Wed Sep 01 2010 20:00:00 GMT-0400 (Eastern Daylight Time)
63,star,7.2,Wed Sep 01 2010 20:00:00 GMT-0400 (Eastern Daylight Time)
64,umbrella,7.8,Wed Sep 01 2010 20:00:00 GMT-0400 (Eastern Daylight Time)
65,triangle,6.95,Mon Jan 19 2009 19:00:00 GMT-0500 (Eastern Standard Time)
66,circle,7.25,Mon Jan 19 2009 19:00:00 GMT-0500 (Eastern Standard Time)
67,star,7.8,Mon Jan 19 2009 19:00:00 GMT-0500 (Eastern Standard Time)
68,umbrella,8.4,Mon Jan 19 2009 19:00:00 GMT-0500 (Eastern Standard Time)
69,triangle,5.9,Tue Jun 10 2008 20:00:00 GMT-0400 (Eastern Daylight Time)
70,circle,6.2,Tue Jun 10 2008 20:00:00 GMT-0400 (Eastern Daylight Time)
71,star,6.75,Tue Jun 10 2008 20:00:00 GMT-0400 (Eastern Daylight Time)
72,umbrella,7.4,Tue Jun 10 2008 20:00:00 GMT-0400 (Eastern Daylight Time)
73,triangle,6.65,Sat Oct 27 2007 20:00:00 GMT-0400 (Eastern Daylight Time)
74,circle,6.95,Sat Oct 27 2007 20:00:00 GMT-0400 (Eastern Daylight Time)
75,star,7.5,Sat Oct 27 2007 20:00:00 GMT-0400 (Eastern Daylight Time)
76,umbrella,8.1,Sat Oct 27 2007 20:00:00 GMT-0400 (Eastern Daylight Time)
77,triangle,6.4,Fri Apr 14 2006 20:00:00 GMT-0400 (Eastern Daylight Time)
78,circle,6.7,Fri Apr 14 2006 20:00:00 GMT-0400 (Eastern Daylight Time)
79,star,7.25,Fri Apr 14 2006 20:00:00 GMT-0400 (Eastern Daylight Time)
80,umbrella,7.85,Fri Apr 14 2006 20:00:00 GMT-0400 (Eastern Daylight Time)
81,triangle,5.95,Sat Aug 06 2005 20:00:00 GMT-0400 (Eastern Daylight Time)
82,circle,6.25,Sat Aug 06 2005 20:00:00 GMT-0400 (Eastern Daylight Time)
83,star,6.8,Sat Aug 06 2005 20:00:00 GMT-0400 (Eastern Daylight Time)
84,umbrella,7.45,Sat Aug 06 2005 20:00:00 GMT-0400 (Eastern Daylight Time)
85,triangle,6.75,Sat Dec 11 2004 19:00:00 GMT-0500 (Eastern Standard Time)
86,circle,7.05,Sat Dec 11 2004 19:00:00 GMT-0500 (Eastern Standard Time)
87,star,7.6,Sat Dec 11 2004 19:00:00 GMT-0500 (Eastern Standard Time)
88,umbrella,8.2,Sat Dec 11 2004 19:00:00 GMT-0500 (Eastern Standard Time)
89,triangle,5.9,Tue Jul 29 2003 20:00:00 GMT-0400 (Eastern Daylight Time)
90,circle,6.2,Tue Jul 29 2003 20:00:00 GMT-0400 (Eastern Daylight Time)
91,star,6.75,Tue Jul 29 2003 20:00:00 GMT-0400 (Eastern Daylight Time)
92,umbrella,7.35,Tue Jul 29 2003 20:00:00 GMT-0400 (Eastern Daylight Time)
93,triangle,6.4,Wed Apr 17 2002 20:00:00 GMT-0400 (Eastern Daylight Time)
94,circle,6.7,Wed Apr 17 2002 20:00:00 GMT-0400 (Eastern Daylight Time)
95,star,7.25,Wed Apr 17 2002 20:00:00 GMT-0400 (Eastern Daylight Time)
96,umbrella,7.85,Wed Apr 17 2002 20:00:00 GMT-0400 (Eastern Daylight Time)
97,triangle,6.85,Wed Jan 24 2001 19:00:00 GMT-0500 (Eastern Standard Time)
98,circle,7.15,Wed Jan 24 2001 19:00:00 GMT-0500 (Eastern Standard Time)
99,star,7.7,Wed Jan 24 2001 19:00:00 GMT-0500 (Eastern Standard Time)
100,umbrella,8.3,Wed Jan 24 2001 19:00:00 GMT-0500 (Eastern Standard Time)
101,triangle,5.95,Mon Aug 07 2000 20:00:00 GMT-0400 (Eastern Daylight Time)
102,circle,6.25,Mon Aug 07 2000 20:00:00 GMT-0400 (Eastern Daylight Time)
103,star,6.8,Mon Aug 07 2000 20:00:00 GMT-0400 (Eastern Daylight Time)
104,umbrella,7.4,Mon Aug 07 2000 20:00:00 GMT-0400 (Eastern Daylight Time)
105,triangle,6.6,Thu Oct 14 1999 20:00:00 GMT-0400 (Eastern Daylight Time)
106,circle,6.9,Thu Oct 14 1999 20:00:00 GMT-0400 (Eastern Daylight Time)
107,star,7.45,Thu Oct 14 1999 20:00:00 GMT-0400 (Eastern Daylight Time)
108,umbrella,8.05,Thu Oct 14 1999 20:00:00 GMT-0400 (Eastern Daylight Time)
109,triangle,5.85,Sun Jun 21 1998 20:00:00 GMT-0400 (Eastern Daylight Time)
110,circle,6.15,Sun Jun 21 1998 20:00:00 GMT-0400 (Eastern Daylight Time)
111,star,6.7,Sun Jun 21 1998 20:00:00 GMT-0400 (Eastern Daylight Time)
112,umbrella,7.3,Sun Jun 21 1998 20:00:00 GMT-0400 (Eastern Daylight Time)
113,triangle,6.8,Thu Feb 13 1997 19:00:00 GMT-0500 (Eastern Standard Time)
114,circle,7.1,Thu Feb 13 1997 19:00:00 GMT-0500 (Eastern Standard Time)
115,star,7.65,Thu Feb 13 1997 19:00:00 GMT-0500 (Eastern Standard Time)
116,umbrella,8.25,Thu Feb 13 1997 19:00:00 GMT-0500 (Eastern Standard Time)
117,triangle,6.3,Wed Sep 04 1996 20:00:00 GMT-0400 (Eastern Daylight Time)
118,circle,6.6,Wed Sep 04 1996 20:00:00 GMT-0400 (Eastern Daylight Time)
119,star,7.15,Wed Sep 04 1996 20:00:00 GMT-0400 (Eastern Daylight Time)
120,umbrella,7.75,Wed Sep 04 1996 20:00:00 GMT-0400 (Eastern Daylight Time)
121,triangle,5.9,Tue Jul 18 1995 20:00:00 GMT-0400 (Eastern Daylight Time)
122,circle,6.2,Tue Jul 18 1995 20:00:00 GMT-0400 (Eastern Daylight Time)
123,star,6.75,Tue Jul 18 1995 20:00:00 GMT-0400 (Eastern Daylight Time)
124,umbrella,7.35,Tue Jul 18 1995 20:00:00 GMT-0400 (Eastern Daylight Time)
